Problem name,Problem-level skill,"Problem's ""Description"" / node name",Problem's parents/prereqs: names of the nodes that *must have been visited at least once* before this problem is displayed  --  leave cell blank if problem has no prereqs,Number of duplicates needed for this problem,SWF file name,BRD file name
addition_SM_problem3,addition_SM_symbolic_withReducing,,,14,FractionsSenseMaking_Final_ad_3.swf,FractionsSenseMaking_Final_ad_3.brd
crossMultiplication_SM_problem1,crossMultiplication_SM_symbolic,,,14,FractionsSenseMaking_Final_cm_1.swf,FractionsSenseMaking_Final_cm_1.brd
crossMultiplication_SM_problem2,crossMultiplication_SM_symbolic,,,14,FractionsSenseMaking_Final_cm_2.swf,FractionsSenseMaking_Final_cm_2.brd
numberLine_SM_problem5,orderingEquivalence_SM_numberline_diffNumSameDenomNotEquiv,,,14,FractionsSenseMaking_Final_nl_5.swf,FractionsSenseMaking_Final_nl_5.brd
numberLine_SM_problem6,orderingEquivalence_SM_numberline_sameNumDiffDenomNotEquiv,,,14,FractionsSenseMaking_Final_nl_6.swf,FractionsSenseMaking_Final_nl_6.brd
reducingFractions_SM_problem2,fractionReduction_SM_symbolic,,,14,FractionsSenseMaking_Final_re_2.swf,FractionsSenseMaking_Final_re_2.brd
numberLine_SM_problem1,orderingEquivalence_SM_numberline_diffNumDiffDenomEquiv,,,14,FractionsSenseMaking_Final_nl_1.swf,FractionsSenseMaking_Final_nl_1.brd
comparisonDrill_fluency_easy,order3fractions_fluency_symbolic_easy,,,3,comparisonOrdering_fluency.swf,comparisonOrderingFluency_easy.brd
comparisonDrill_fluency_medium,order3fractions_fluency_symbolic_medium,,,3,comparisonOrdering_fluency.swf,comparisonOrderingFluency_medium.brd
comparisonDrill_fluency_hard,order3fractions_fluency_symbolic_hard,,,3,comparisonOrdering_fluency.swf,comparisonOrderingFluency_hard.brd
commonDenominator_fluency_problem1,commonDenominator_fluency_symbolic,,,3,common_denominator_fluency.swf,commonDenom_Fluency1.brd
commonDenominator_fluency_problem2,commonDenominator_fluency_symbolic,,,3,common_denominator_fluency.swf,commonDenom_Fluency2.brd
commonDenominator_fluency_problem3,commonDenominator_fluency_symbolic,,,3,common_denominator_fluency.swf,commonDenom_Fluency3.brd
commonDenominator_fluency_problem4,commonDenominator_fluency_symbolic,,,3,common_denominator_fluency.swf,commonDenom_Fluency4.brd
commonDenominator_fluency_problem5,commonDenominator_fluency_symbolic,,,3,common_denominator_fluency.swf,commonDenom_Fluency5.brd
fractionReduction_IR_3-9,fractionReduction_IR_symbolic_maxOneDivision,,,1,fraction_reduction_fluency.swf,fracReduce_3-9.brd
fractionReduction_IR_3-12,fractionReduction_IR_symbolic_maxOneDivision,,,1,fraction_reduction_fluency.swf,fracReduce_3-12.brd
fractionReduction_IR_5-15,fractionReduction_IR_symbolic_maxOneDivision,,,1,fraction_reduction_fluency.swf,fracReduce_5-15.brd
fractionReduction_IR_7-49,fractionReduction_IR_symbolic_maxOneDivision,,,1,fraction_reduction_fluency.swf,fracReduce_7-49.brd
fractionReduction_IR_11-22,fractionReduction_IR_symbolic_maxOneDivision,,,1,fraction_reduction_fluency.swf,fracReduce_11-22.brd
fractionReduction_IR_4-8,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_4-8.brd
fractionReduction_IR_6-9,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_6-9.brd
fractionReduction_IR_8-16,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_8-16.brd
fractionReduction_IR_8-20,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_8-20.brd
fractionReduction_IR_10-30,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_10-30.brd
fractionReduction_IR_16-48,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_16-48.brd
fractionReduction_IR_16-80,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_16-80.brd
fractionReduction_IR_18-90,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_18-90.brd
fractionReduction_IR_20-90,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_20-90.brd
fractionReduction_IR_24-60,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_24-60.brd
fractionReduction_IR_27-36,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_27-36.brd
fractionReduction_IR_27-81,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_27-81.brd
fractionReduction_IR_28-42,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_28-42.brd
fractionReduction_IR_32-96,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_32-96.brd
fractionReduction_IR_36-48,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_36-48.brd
fractionReduction_IR_40_120,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_40-120.brd
fractionReduction_IR_48-72,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_48-72.brd
fractionReduction_IR_56-140,fractionReduction_IR_symbolic,,,1,fraction_reduction_fluency.swf,fracReduce_56-140.brd
addition_fluency_problem1,addition_fluency_symbolic,,,3,Addition_Fluency.swf,fracAdd1.brd
addition_fluency_problem2,addition_fluency_symbolic,,,3,Addition_Fluency.swf,fracAdd2.brd
addition_fluency_problem3,addition_fluency_symbolic,,,3,Addition_Fluency.swf,fracAdd3.brd
addition_fluency_problem4,addition_fluency_symbolic,,,3,Addition_Fluency.swf,fracAdd4.brd
addition_fluency_problem5,addition_fluency_symbolic,,,3,Addition_Fluency.swf,fracAdd5.brd
addition_fluency_problem6,addition_fluency_symbolic,,,3,Addition_Fluency.swf,fracAdd6.brd
addition_fluency_problem7,addition_fluency_symbolic,,,3,Addition_Fluency.swf,fracAdd7.brd
commonDenominator_IR_4-6,commonDenominator_IR_symbolic,,,1,common_denominator_IR.swf,commonDenom_IR_4_6.brd
commonDenominator_IR_5-3,commonDenominator_IR_symbolic,,,1,common_denominator_IR.swf,commonDenom_IR_5_3.brd
commonDenominator_IR_6-8,commonDenominator_IR_symbolic,,,1,common_denominator_IR.swf,commonDenom_IR_6_8.brd
commonDenominator_IR_6-12,commonDenominator_IR_symbolic,,,1,common_denominator_IR.swf,commonDenom_IR_6_12.brd
commonDenominator_IR_8-4,commonDenominator_IR_symbolic,,,1,common_denominator_IR.swf,commonDenom_IR_8_4.brd
commonDenominator_IR_12-3,commonDenominator_IR_symbolic,,,1,common_denominator_IR.swf,commonDenom_IR_12_3.brd
commonDenominator_IR_12-20,commonDenominator_IR_symbolic,,,1,common_denominator_IR.swf,commonDenom_IR_12_20.brd
crossMultiplicationScaffolded_IR_2-4_6-12,crossMultiplication_IR_symbolic_withVisualScaffolding,,,1,crossMultiplication_IR_scaffold.swf,crossMultiplication_2-4_6-12.brd
crossMultiplicationScaffolded_IR_3-5_9-15,crossMultiplication_IR_symbolic_withVisualScaffolding,,,1,crossMultiplication_IR_scaffold.swf,crossMultiplication_3-5_9-15.brd
crossMultiplicationScaffolded_IR_4-5_9-10,crossMultiplication_IR_symbolic_withVisualScaffolding,,,1,crossMultiplication_IR_scaffold.swf,crossMultiplication_4-5_9-10.brd
crossMultiplicationScaffolded_IR_5-6_3-4,crossMultiplication_IR_symbolic_withVisualScaffolding,,,1,crossMultiplication_IR_scaffold.swf,crossMultiplication_5-6_3-4.brd
crossMultiplicationScaffolded_IR_7-9_17-24,crossMultiplication_IR_symbolic_withVisualScaffolding,,,1,crossMultiplication_IR_scaffold.swf,crossMultiplication_7-9_17-24.brd
crossMultiplicationScaffolded_IR_17-18_19-20,crossMultiplication_IR_symbolic_withVisualScaffolding,,,1,crossMultiplication_IR_scaffold.swf,crossMultiplication_17-18_19-20.brd
crossMultiplicationUnscaffolded_IR_2-3_7-10,crossMultiplication_IR_symbolic_withoutVisualScaffolding,,,1,crossMultiplication_IR.swf,crossMultiplication_2-3_7-10.brd
crossMultiplicationUnscaffolded_IR_3-7_3-8,crossMultiplication_IR_symbolic_withoutVisualScaffolding,,,1,crossMultiplication_IR.swf,crossMultiplication_3-7_3-8.brd
crossMultiplicationUnscaffolded_IR_5-6_7-8,crossMultiplication_IR_symbolic_withoutVisualScaffolding,,,1,crossMultiplication_IR.swf,crossMultiplication_5-6_7-8.brd
crossMultiplicationUnscaffolded_IR_5-9_4-9,crossMultiplication_IR_symbolic_withoutVisualScaffolding,,,1,crossMultiplication_IR.swf,crossMultiplication_5-9_4-9.brd
crossMultiplicationUnscaffolded_IR_7-12_5-8,crossMultiplication_IR_symbolic_withoutVisualScaffolding,,,1,crossMultiplication_IR.swf,crossMultiplication_7-12_5-8.brd
crossMultiplicationUnscaffolded_IR_5-12_7-18,crossMultiplication_IR_symbolic_withoutVisualScaffolding,,,1,crossMultiplication_IR.swf,crossMultiplication_5-12_7-18.brd
crossMultiplicationUnscaffolded_IR_20-24_10-12,crossMultiplication_IR_symbolic_withoutVisualScaffolding,,,1,crossMultiplication_IR.swf,crossMultiplication_20-24_10-12.brd
equivalentFractionsNL_IR_03_1,equivalentFractions_IR_numberline,,,1,equivalence_IR.swf,equivalence_IR_03_1.brd
equivalentFractionsNL_IR_04_2,equivalentFractions_IR_numberline,,,1,equivalence_IR.swf,equivalence_IR_04_2.brd
equivalentFractionsNL_IR_06_1,equivalentFractions_IR_numberline,,,1,equivalence_IR.swf,equivalence_IR_06_1.brd
equivalentFractionsNL_IR_07_2,equivalentFractions_IR_numberline,,,1,equivalence_IR.swf,equivalence_IR_07_2.brd
equivalentFractionsNL_IR_08_2,equivalentFractions_IR_numberline,,,1,equivalence_IR.swf,equivalence_IR_08_2.brd
equivalentFractionsNL_IR_09_1,equivalentFractions_IR_numberline,,,1,equivalence_IR.swf,equivalence_IR_09_1.brd
equivalentFractionsNL_IR_10_2,equivalentFractions_IR_numberline,,,1,equivalence_IR.swf,equivalence_IR_10_2.brd
estimatingFractionsNL_IR_01tv,estimatingFractions_IR_numberline,,,1,estimationNaming_IR.swf,estimating_IR_01tv.brd
estimatingFractionsNL_IR_02tv,estimatingFractions_IR_numberline,,,1,estimationNaming_IR.swf,estimating_IR_02tv.brd
estimatingFractionsNL_IR_03football,estimatingFractions_IR_numberline,,,1,estimationNaming_IR.swf,estimating_IR_03football.brd
estimatingFractionsNL_IR_04president,estimatingFractions_IR_numberline,,,1,estimationNaming_IR.swf,estimating_IR_04president.brd
estimatingFractionsNL_IR_05music,estimatingFractions_IR_numberline,,,1,estimationNaming_IR.swf,estimating_IR_05music.brd
estimatingFractionsNL_IR_06boyschool,estimatingFractions_IR_numberline,,,1,estimationNaming_IR.swf,estimating_IR_06boyschool.brd
estimatingFractionsNL_IR_07tomato,estimatingFractions_IR_numberline,,,1,estimationNaming_IR.swf,estimating_IR_07tomato.brd
estimatingFractionsNL_IR_08bowl,estimatingFractions_IR_numberline,,,1,estimationNaming_IR.swf,estimating_IR_08bowl.brd
estimatingFractionsNL_IR_09fence,estimatingFractions_IR_numberline,,,1,estimationNaming_IR.swf,estimating_IR_09fence.brd
estimatingFractionsNL_IR_10highlighters,estimatingFractions_IR_numberline,,,1,estimationNaming_IR.swf,estimating_IR_10highlighters.brd
makingFractionsNL_IR_03summerBooks,makingFractions_IR_numberline,,,1,makingIdentification_IR.swf,makingIdentifying_IR_03summerBooks.brd
makingFractionsNL_IR_04soccerSeason,makingFractions_IR_numberline,,,1,makingIdentification_IR.swf,makingIdentifying_IR_04soccerSeason.brd
makingFractionsNL_IR_05flu,makingFractions_IR_numberline,,,1,makingIdentification_IR.swf,makingIdentifying_IR_05flu.brd
makingFractionsNL_IR_06lemonade,makingFractions_IR_numberline,,,1,makingIdentification_IR.swf,makingIdentifying_IR_06lemonade.brd
makingFractionsNL_IR_07pizza,makingFractions_IR_numberline,,,1,makingIdentification_IR.swf,makingIdentifying_IR_07pizza.brd
makingFractionsNL_IR_08dentists,makingFractions_IR_numberline,,,1,makingIdentification_IR.swf,makingIdentifying_IR_08dentists.brd
makingFractionsNL_IR_09mathCompetition,makingFractions_IR_numberline,,,1,makingIdentification_IR.swf,makingIdentifying_IR_09mathCompetition.brd
makingFractionsNL_IR_10children,makingFractions_IR_numberline,,,1,makingIdentification_IR.swf,makingIdentifying_IR_10children.brd
makingFractionsNL_IR_11project,makingFractions_IR_numberline,,,1,makingIdentification_IR.swf,makingIdentifying_IR_11project.brd
namingFractionsNL_IR_7-9_7-9,namingFractions_IR_numberline,,,1,nameNL_comp3_7-9.swf,namingNL_IR_7-9_comp3.brd
